id,calories,proteins,fats,carbs,fiber,sugar,sodium,item_name,category_id,price
1,320.0,12.0,25.0,8.0,3.0,4.0,650.0,paneer butter masala,6,150.0
2,450.0,22.0,15.0,55.0,4.0,3.0,1000.0,chicken biryani,6,180.0
4,250.0,6.0,10.0,40.0,3.0,1.0,350.0,masala dosa,2,60.0
5,450.0,13.0,18.0,65.0,10.0,4.0,900.0,chole bhature,7,120.0
7,250.0,5.0,7.0,42.0,3.0,2.0,500.0,veg pulao,6,150.0
9,300.0,8.0,16.0,40.0,6.0,3.0,600.0,pav bhaji,7,90.0
10,350.0,12.0,10.0,50.0,5.0,4.0,500.0,pasta,6,200.0
11,290.0,12.0,12.0,35.0,2.0,3.0,700.0,pizza,7,250.0
13,150.0,2.0,5.0,25.0,0.0,20.0,100.0,gulab jamun,4,50.0
14,120.0,3.0,2.0,23.0,0.0,18.0,70.0,rasgulla,4,70.0
15,150.0,2.0,7.0,25.0,0.0,20.0,60.0,jalebi,4,60.0
16,200.0,4.0,6.0,30.0,3.0,2.0,500.0,pani puri,7,25.0
17,250.0,6.0,15.0,30.0,3.0,2.0,450.0,samosa,7,15.0
19,300.0,14.0,20.0,10.0,2.0,2.0,800.0,egg curry,6,130.0
21,300.0,6.0,18.0,35.0,4.0,2.0,500.0,vada pav,7,30.0
24,120.0,3.0,2.0,20.0,2.0,0.0,200.0,roti,6,10.0
25,130.0,2.0,0.0,28.0,0.0,0.0,150.0,rice,6,50.0
30,250.0,6.0,10.0,40.0,3.0,5.0,600.0,bhel puri,7,40.0
40,280.0,8.0,15.0,30.0,2.0,3.0,700.0,veg manchurian,6,120.0
44,180.0,6.0,4.0,35.0,2.0,1.0,450.0,idli,2,20.0
46,300.0,8.0,15.0,45.0,4.0,3.0,600.0,veg frankie,7,90.0
47,250.0,6.0,10.0,35.0,4.0,2.0,500.0,sandwich,7,80.0
53,230.0,6.0,12.0,20.0,5.0,2.0,600.0,vegetable curry,6,100.0
56,420.0,25.0,30.0,10.0,2.0,2.0,950.0,chicken curry,6,150.0
68,180.0,8.0,5.0,30.0,3.0,2.0,400.0,pesarattu,2,40.0
69,200.0,5.0,6.0,35.0,2.0,1.0,500.0,upma,2,25.0
71,250.0,5.0,15.0,25.0,2.0,2.0,450.0,onion pakora,7,30.0
78,95.0,0.5,0.3,25.0,4.0,19.0,2.0,apple,1,100.0
79,105.0,1.3,0.4,27.0,3.0,14.0,1.0,banana,1,10.0
80,62.0,1.2,0.2,15.0,3.0,12.0,0.0,orange,1,50.0
81,99.0,1.4,0.6,25.0,2.6,23.0,1.0,mango,1,60.0
86,59.0,0.9,0.4,15.0,2.5,10.0,8.0,papaya,1,40.0
88,160.0,2.0,10.0,15.0,1.0,1.0,170.0,lays,7,20.0
90,207.0,3.5,11.0,23.6,0.7,21.2,80.0,ice cream,4,30.0
91,100.0,3.0,4.0,7.0,0.0,4.0,50.0,curd,6,20.0
92,120.0,5.0,5.0,10.0,4.0,2.0,300.0,sambar,6,50.0
93,150.0,4.0,7.0,10.0,2.0,3.0,200.0,brinjal curry,6,120.0
94,575.0,21.0,50.0,20.0,12.0,5.0,1.0,almonds,5,500.0
95,553.0,18.0,44.0,30.0,3.0,5.0,12.0,cashews,5,700.0
96,654.0,15.0,65.0,14.0,6.0,2.0,2.0,walnuts,5,800.0
97,562.0,20.0,45.0,28.0,10.0,5.0,1.0,pistachio,5,600.0
98,299.0,3.0,0.5,79.0,0.0,59.0,4.0,raisins,5,200.0
99,133.0,3.0,3.0,21.0,1.0,1.0,150.0,dosa,2,30.0
100,100.0,2.0,7.0,10.0,1.0,0.5,40.0,puri,2,30.0
101,150.0,4.0,8.0,18.0,2.0,0.5,160.0,vada,2,20.0
102,70.0,6.0,5.0,1.0,0.0,0.0,70.0,eggs,6,10.0
103,295.0,14.0,11.0,33.0,3.0,6.0,480.0,burger,7,150.0
